pf.txt	Playa fina				
Muestreo=	4				
Prof. Via1	0.13				
Prof. Via2	0.293				
Prof. Via3	0.455				
Prof. Via4	0.78				
PRES	DIAM	VIA1	VIA2	VIA3	VIA4
110888.5	1.998204	-0.31	-2.084	-2.084	-3.212
110378.4	1.997062	0.4228	-1.718	-1.718	-3.578
109667.8	1.996083	0.789	-2.084	-2.084	-3.944
109182.3	1.994957	1.1552	-0.986	-0.986	-3.578
108744.3	1.993601	1.5214	-0.986	-0.986	-3.212
108199.8	1.992429	1.8876	-0.986	-0.986	-2.478
107797.4	1.991276	2.9864	-0.986	-0.986	-1.38
107140.6	1.989945	2.6202	-0.62	-0.62	-0.648
106747.1	1.988747	2.6202	-0.254	-0.254	0.085
106355.1	1.987424	2.9864	0.1132	0.1132	1.1836
106094	1.986184	2.9864	0.4794	0.4794	1.5498
105638	1.984823	2.6202	0.4794	0.4794	2.2822
105344.9	1.98355	2.6202	0.8458	0.8458	2.2822
105068.2	1.982012	2.254	0.8458	0.8458	1.916
104734.6	1.980725	1.5214	1.5782	1.5782	1.916
104567.8	1.979322	0.4228	1.5782	1.5782	1.5498
104874.9	1.978991	0.0566	1.9444	1.9444	1.5498
105288.8	1.979329	-0.676	1.9444	1.9444	1.916
105300.5	1.977821	-1.408	1.9444	1.9444	2.2822
104785.7	1.975876	-1.408	1.212	1.212	3.3808
104333	1.973244	-1.408	-0.254	-0.254	3.3808
103976.5	1.970238	-1.042	-0.986	-0.986	3.0146
103602.9	1.968953	-1.408	-1.718	-1.718	2.2822
103416.2	1.967356	-1.042	-1.718	-1.718	1.916
102997.3	1.965135	-0.676	-2.084	-2.084	1.916
102787.9	1.963038	-0.31	-1.718	-1.718	1.916
102553	1.961298	0.0566	-1.718	-1.718	2.2822
102240.3	1.959634	0.4228	-2.084	-2.084	2.2822
101953.8	1.958038	0.4228	-2.45	-2.45	1.5498
101810.5	1.95621	0.0566	-2.45	-2.45	1.1836
101543.6	1.95432	-0.31	-2.084	-2.084	0.085
101475.3	1.952814	-1.042	-1.352	-1.352	-0.282
101701.5	1.950921	-2.14	-0.986	-0.986	-0.648
102465.4	1.949364	-1.774	0.1132	0.1132	-1.014
103758.6	1.948207	-1.408	-0.62	-0.62	-1.38
105576.8	1.947362	-1.408	-0.254	-0.254	-1.746
107657.5	1.947091	-0.676	0.4794	0.4794	-1.38
110129.8	1.94773	-0.676	1.212	1.212	-1.014
112602.6	1.949088	-0.31	3.043	3.043	0.8174
115205.8	1.951241	0.4228	4.5078	4.5078	3.0146
117939.4	1.954207	1.8876	7.4376	7.4376	5.9444
120412.7	1.959816	2.6202	10.3672	10.3672	9.6064
122755.8	1.964863	5.1836	13.663	13.663	13.2686
124903.7	1.968917	7.3808	16.5928	16.5928	16.1982
126888.9	1.973397	10.6768	19.8886	19.8886	17.663
128792.7	1.975275	13.6064	23.5508	23.5508	20.2266
130590.7	1.979119	16.17	25.748	25.748	23.8886
132205.7	1.984735	19.832	27.2128	27.2128	28.2832
133664	1.990475	22.0292	28.3116	28.3116	32.6778
134979	1.993241	25.6914	31.2412	31.2412	35.6074
136222.3	1.997738	28.9874	33.8046	33.8046	38.5372
137429.8	2.003304	30.086	36.7344	36.7344	41.1006
138489.1	2.008999	30.8184	38.5654	38.5654	42.1992
139539.5	2.01246	31.5508	39.664	39.664	43.664
140325	2.017044	33.3818	41.8614	41.8614	45.129
141043.3	2.022247	34.1142	42.5938	42.5938	46.2276
141662.7	2.027272	35.5792	44.0586	44.0586	48.791
142297.9	2.031159	36.3116	45.1572	45.1572	50.2558
142680.6	2.035342	37.044	46.9882	46.9882	52.087
143002	2.039597	37.4102	48.087	48.087	54.2842
143227.9	2.043524	37.7764	49.1856	49.1856	56.4814
143080.5	2.047059	39.2412	49.918	49.918	57.58
142811.5	2.050338	41.0722	49.918	49.918	58.6788
142286.4	2.053437	42.5372	49.5518	49.5518	58.3126
141568.3	2.05598	40.706	49.5518	49.5518	57.2138
140558.5	2.058465	37.044	49.1856	49.1856	55.749
139272.4	2.060359	33.0156	48.4532	48.4532	54.2842
137653	2.061965	29.3536	46.622	46.622	52.8194
135801.9	2.063019	26.79	43.6924	43.6924	51.3544
133574.7	2.06382	24.5928	40.3964	40.3964	49.1572
131224.3	2.063856	23.128	37.4668	37.4668	46.2276
128747.4	2.063447	21.663	34.5372	34.5372	42.1992
126662.8	2.062198	20.1982	31.2412	31.2412	37.8046
125620.5	2.059995	18.7334	28.3116	28.3116	33.4102
125750.2	2.054192	16.9024	24.6494	24.6494	29.0156
126400.9	2.051615	14.3388	20.621	20.621	24.621
126400.8	2.050667	11.4092	16.2266	16.2266	19.8604
125945.1	2.049764	8.4794	12.9306	12.9306	15.4658
125522	2.046993	5.916	10.001	10.001	11.8038
125115.2	2.045968	4.8174	7.4376	7.4376	8.5078
124521.3	2.045242	3.7188	4.874	4.874	6.6768
123964	2.044049	2.9864	3.043	3.043	4.4794
123490	2.042339	2.254	1.9444	1.9444	1.916
123188	2.041192	1.1552	1.5782	1.5782	0.085
122971.9	2.040404	0.4228	1.212	1.212	-2.112
122538.4	2.039304	-0.31	1.212	1.212	-3.944
122126.4	2.037774	-1.408	0.8458	0.8458	-5.774
121725.1	2.036839	-1.774	0.1132	0.1132	-8.338
121329.2	2.036144	-2.506	-0.254	-0.254	-10.902
121131.3	2.035224	-2.874	-1.718	-1.718	-13.832
120902.1	2.034445	-3.606	-3.182	-3.182	-16.394
120592.3	2.033598	-4.338	-4.648	-4.648	-19.324
120242.1	2.032835	-5.802	-6.112	-6.112	-22.254
119936.8	2.032099	-6.536	-7.944	-7.944	-25.184
119719.1	2.03129	-8.366	-10.14	-10.14	-27.38
119675.3	2.030464	-9.464	-11.972	-11.972	-29.212
119328	2.029672	-10.564	-13.07	-13.07	-30.676
119024.2	2.028812	-11.296	-14.536	-14.536	-31.41
118872.2	2.027988	-12.394	-15.268	-15.268	-31.042
118666.1	2.027248	-12.76	-16.366	-16.366	-30.31
118497.9	2.026483	-12.76	-17.832	-17.832	-30.31
118283.7	2.025795	-13.126	-18.198	-18.198	-30.676
118046.4	2.023412	-13.126	-18.93	-18.93	-30.31
117797.6	2.020974	-13.494	-18.564	-18.564	-29.212
117477.9	2.020493	-12.76	-18.564	-18.564	-27.014
117253	2.020208	-12.028	-17.464	-17.464	-24.818
117075.4	2.01907	-10.564	-15.634	-15.634	-22.62
116921.5	2.017996	-9.832	-14.17	-14.17	-20.422
116779.5	2.017618	-9.098	-12.338	-12.338	-18.226
116578.3	2.017424	-8.366	-10.874	-10.874	-17.126
116412.6	2.017103	-7.634	-9.042	-9.042	-15.662
116134.5	2.016912	-5.802	-7.212	-7.212	-14.564
115865.3	2.016446	-5.802	-6.478	-6.478	-13.098
115535.4	2.015929	-5.436	-5.014	-5.014	-10.17
115240.3	2.015268	-5.07	-4.282	-4.282	-7.972
114897.5	2.014623	-3.606	-3.916	-3.916	-5.774
114530.8	2.013798	-3.24	-2.816	-2.816	-3.578
114217.3	2.012909	-2.874	-2.45	-2.45	-1.38
113735.1	2.012109	-2.14	-2.45	-2.45	0.4512
113363.9	2.011095	-1.408	-1.718	-1.718	2.2822
112917.9	2.010133	-1.042	-0.986	-0.986	3.0146
112434.5	2.008973	-0.676	0.1132	0.1132	3.3808
111997.6	2.00793	-0.31	0.4794	0.4794	3.747
111453.7	2.006746	-0.31	0.8458	0.8458	4.4794
110921.4	2.005582	0.4228	1.9444	1.9444	5.212
